R,Ti
1.338235802,163.0693069
1.359486311,170.4186704
1.380765234,159.3946252
1.402377217,148.3705799
1.516772046,155.7199434
1.540719696,155.7199434
1.639911004,133.6718529
1.665802841,133.6718529
1.692103473,133.6718529
1.858611044,122.6478076
1.887955841,122.6478076
1.91776395,122.6478076
1.948042686,122.6478076
1.978710914,118.9731259
2.009861956,115.2984441
2.041594787,115.2984441
2.073828634,115.2984441
2.106571407,115.2984441
2.139831141,115.2984441
2.173615999,115.2984441
2.207934271,115.2984441
2.242794379,115.2984441
2.278204878,115.2984441
2.314174458,115.2984441
2.350711946,115.2984441
2.387826308,115.2984441
2.425526653,115.2984441
2.463822232,115.2984441
2.502722443,115.2984441
2.542236833,115.2984441
2.582375097,115.2984441
2.623147088,115.2984441
2.66456281,115.2984441
2.706632426,115.2984441
2.749366261,115.2984441
2.792774802,115.2984441
2.836741732,111.6237624
2.881529806,111.6237624
2.927025019,111.6237624
2.973238537,111.6237624
3.020181699,111.6237624
3.067866026,111.6237624
3.11630322,111.6237624
3.165505168,111.6237624
3.215483944,111.6237624
3.266251813,111.6237624
3.317821234,111.6237624
3.370355708,115.2984441
3.42356878,115.2984441
3.477622009,115.2984441
3.532528661,115.2984441
3.588302211,115.2984441
3.644956344,115.2984441
3.702504965,115.2984441
3.760962196,115.2984441
3.820342382,115.2984441
3.880660097,115.2984441
3.941930141,115.2984441
4.004167551,115.2984441
4.0673876,115.2984441
4.131605803,115.2984441
4.19683792,115.2984441
4.263099957,115.2984441
4.330408177,115.2984441
4.398582222,111.6237624
4.468229495,115.2984441
4.539182725,122.6478076
4.610849895,122.6478076
4.683648586,122.6478076
4.757596664,122.6478076
4.832712276,122.6478076
4.909013856,122.6478076
4.986520128,122.6478076
5.065250112,122.6478076
5.14522313,122.6478076
5.226458806,122.6478076
5.308977078,122.6478076
5.393280955,129.9971711
5.478433108,129.9971711
5.564929691,129.9971711
5.652791931,129.9971711
5.742041389,129.9971711
5.832699968,129.9971711
5.924789916,129.9971711
6.018333831,129.9971711
6.113354671,129.9971711
6.210431658,137.3465347
6.308485446,137.3465347
6.408087362,137.3465347
6.50926185,137.3465347
6.613809615,159.3946252
6.612033737,137.3465347
6.610258336,115.2984441
6.716428244,137.3465347
6.822470991,137.3465347
6.930188,137.3465347
7.03897558,129.9971711
7.150750961,137.3465347
7.263651039,137.3465347
7.378333646,137.3465347
7.494826928,137.3465347
7.613159471,137.3465347
7.733360315,137.3465347
7.855458957,137.3465347
7.979485361,137.3465347
8.105469964,137.3465347
8.233443682,137.3465347
8.363437922,137.3465347
8.362315011,126.3224894
8.49472414,129.9971711
8.628843623,129.9971711
8.765080659,129.9971711
8.903468682,129.9971711
9.044041653,129.9971711
9.18683407,129.9971711
9.331880973,129.9971711
9.330628035,118.9731259
9.478369459,122.6478076
9.628019287,122.6478076
9.780031871,122.6478076
9.934444515,122.6478076
10.09129511,122.6478076
10.25062216,122.6478076
10.41246474,122.6478076
10.57686259,122.6478076
10.74337519,118.9731259
10.91250921,115.2984441
11.08480204,115.2984441
11.25981513,115.2984441
11.43759142,115.2984441
11.61817455,115.2984441
11.80160882,115.2984441
11.98793926,115.2984441
12.17557663,104.2743989
12.36781148,104.2743989
12.56364375,107.9490806
12.76200562,107.9490806
12.96349935,107.9490806
13.16817436,107.9490806
13.37608091,107.9490806
13.58727,107.9490806
14.23914284,96.92503536
14.46460582,100.5997171
14.69298116,100.5997171
14.92496221,100.5997171
15.16060591,100.5997171
15.39997008,100.5997171
15.64311347,100.5997171
16.39361897,89.57567185
